1071470,"Planetes Community Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1075180,"Beyond Enemy Lines 2 Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1075820,"Green Army Men - Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
1084900,"Task Force Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1086350,"MekaFighters Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Invalid Platform,Permanent,)",true,false
1086950,"Solace Crafting Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1088320,"Day of Dragons - Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1098260,"Creativerse Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1099850,"Karl BOOM Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1101560,"灵魂筹码欧美服demo测试版 Soul at Stake US/EU Server Testing Demo","unknown (No License)","unknown (No License)",false,false
1110390,"Unturned Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1111260,"WBTR Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
1118810,"Midnight Ghost Hunt Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1119550,"SFIW:DedicatedServer","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
1129070,"Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1136190,"Military Conflict: Vietnam Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1136460,"Without A Roof (W.A.R.) Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1136510,"Warfork Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1141420,"Rem Survival Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
1169370,"Necesse Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1170680,"Task Force Elite Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1171790,"Celaria Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
1180760,"Risk of Rain 2 Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
1189160,"Re.Poly Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1200740,"LoginToShootingRangeInServer00 VR","unknown (No License)","unknown (No License)",false,false
1203110,"BadLads Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1204170,"Onset Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1275530,"DeadsideServer","released (Subscribed,Permanent,)","released (Subscribed,Invalid Platform,Permanent,)",true,false
1316480,"Operation: Harsh Doorstop - Developer Build Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1362540,"Battle Cry of Freedom - Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1377020,"Sanctuary Island dedicated server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1377850,"Server is Down","unknown (No License)","unknown (No License)",false,false
1380950,"Fadeout Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1386900,"Observer: System Redux","unknown (No License)","unknown (No License)",false,false
1396070,"The Art of Observer System Redux","unknown (No License)","unknown (No License)",false,false
1402480,"NARAKA: BLADEPOINT - Test Server","unknown (No License)","unknown (No License)",false,false
1402890,"Observer: System Redux Demo","unknown (No License)","unknown (No License)",false,false
1404690,"Paint Royale Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1405890,"Blood Oath: When The Sword Rises dedicated server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1408910,"UGDL Dedicated Server","unknown (No License)","unknown (No License)",false,false
1413700,"TrickShot Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1418640,"Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1420480,"TrickShot Demo Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
